Node ID, Recommended nodes
83        2 30 60 79 37 44 74 66 39 77 58 65 99 1 18 
84        1 88 13 47 30 28 48 65 2 66 81 95 99 51 84 
85        4 7 12 13 15 21 23 24 25 35 44 46 47 49 50 
86        1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
87        44 57 36 77 34 23 74 60 21 75 53 50 39 12 48 
88        1 2 3 12 14 16 17 19 20 21 22 23 24 25 26 
89        90 63 80 54 94 20 34 95 28 6 93 39 13 99 83 
90        23 7 4 43 33 93 98 15 53 81 85 2 90 60 59 
91        29 68 24 39 13 17 16 67 61 64 66 90 36 51 63 
92        85 80 78 58 18 93 24 82 26 91 52 16 1 32 62 
93        1 2 5 7 8 9 10 11 12 13 16 17 21 25 26 
94        1 2 3 4 5 7 8 10 11 13 14 15 16 17 18 
95        1 2 3 4 5 10 11 16 18 20 23 27 28 29 30 
96        1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 
97        1 2 3 8 11 20 23 25 27 29 30 32 33 34 40 
98        4 5 6 7 8 9 10 11 12 13 14 20 27 28 29 
99        1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 
100        4 5 7 8 9 10 11 12 13 16 17 18 19 20 22 
